#==============================================================================
# tracerinfo.dat: Created by GEOS-CHEM at 2024/01/10 22:20
#
# ****** CUSTOMIZED FOR NOx-Ox-Hydrocarbon-Aerosol SIMULATION *****
#
# This file contains name weight and index information about GEOS-CHEM
# tracers.  It is read by routine "ctm_tracerinfo.pro" of the GAMAP package.
#
# File Format:
# -----------------------------------------------------------------------------
# NAME     (A8   )  Tracer name (up to 8 chars)
#  --      (1X   )  1-character spacer
# FULLNAME (A30  )  Full tracer name (up to 30 chars)
# MOLWT    (E10.0)  Molecular weight (kg/mole)
# C        (I3   )  For HC's: # moles C/moles tracer; otherwise set=1
# TRACER   (I9   )  Tracer number (up to 9 digits)
# SCALE    (E10.3)  Standard scale factor to convert to unit given below
#  --      (1X   )  1-character spacer
# UNIT     (A40  )  Unit string
#
#==============================================================================
# GEOS-CHEM tracers [ppbv]
#==============================================================================
BRBI     BRBI tracer                    1.200E-02  1     1046 1.000E+00 molec/cm2/s
BRBO     BRBO tracer                    1.200E-02  1     1047 1.000E+00 molec/cm2/s
BRFI     BRFI tracer                    1.200E-02  1     1048 1.000E+00 molec/cm2/s
BRFO     BRFO tracer                    1.200E-02  1     1049 1.000E+00 molec/cm2/s
BRSOA    BRSOA tracer                   1.200E-02  1     1050 1.000E+00 molec/cm2/s
BRSOP    BRSOP tracer                   1.200E-02  1     1051 1.000E+00 molec/cm2/s
O3       Pure O3 tracer                 4.800E-02  1     1052 1.000E+00 molec/cm2/s
#==============================================================================
# GEOS-CHEM tracers [molec/cm2]
#==============================================================================
NOx      NOx tracer                     1.400E-02  1     2001 1.000E+00 molec/cm2
Ox       Ox tracer                      4.800E-02  1     2002 1.000E+00 molec/cm2
PAN      PAN tracer                     1.210E-01  1     2003 1.000E+00 molec/cm2
CO       CO tracer                      2.800E-02  1     2004 1.000E+00 molec/cm2
ALK4     ALK4 tracer                    1.200E-02  4     2005 1.000E+00 atoms C/cm2
ISOP     ISOP tracer                    1.200E-02  5     2006 1.000E+00 atoms C/cm2
HNO3     HNO3 tracer                    6.300E-02  1     2007 1.000E+00 molec/cm2
H2O2     H2O2 tracer                    3.400E-02  1     2008 1.000E+00 molec/cm2
ACET     ACET tracer                    1.200E-02  3     2009 1.000E+00 atoms C/cm2
MEK      MEK tracer                     1.200E-02  4     2010 1.000E+00 atoms C/cm2
ALD2     ALD2 tracer                    1.200E-02  2     2011 1.000E+00 atoms C/cm2
RCHO     RCHO tracer                    5.800E-02  1     2012 1.000E+00 molec/cm2
MVK      MVK tracer                     7.000E-02  1     2013 1.000E+00 molec/cm2
MACR     MACR tracer                    7.000E-02  1     2014 1.000E+00 molec/cm2
PMN      PMN tracer                     1.470E-01  1     2015 1.000E+00 molec/cm2
PPN      PPN tracer                     1.350E-01  1     2016 1.000E+00 molec/cm2
R4N2     R4N2 tracer                    1.190E-01  1     2017 1.000E+00 molec/cm2
PRPE     PRPE tracer                    1.200E-02  3     2018 1.000E+00 atoms C/cm2
C3H8     C3H8 tracer                    1.200E-02  3     2019 1.000E+00 atoms C/cm2
CH2O     CH2O tracer                    3.000E-02  1     2020 1.000E+00 molec/cm2
C2H6     C2H6 tracer                    1.200E-02  2     2021 1.000E+00 atoms C/cm2
N2O5     N2O5 tracer                    1.050E-01  1     2022 1.000E+00 molec/cm2
HNO4     HNO4 tracer                    7.900E-02  1     2023 1.000E+00 molec/cm2
MP       MP tracer                      4.800E-02  1     2024 1.000E+00 molec/cm2
DMS      DMS tracer                     6.200E-02  1     2025 1.000E+00 molec/cm2
SO2      SO2 tracer                     6.400E-02  1     2026 1.000E+00 molec/cm2
SO4      SO4 tracer                     9.600E-02  1     2027 1.000E+00 molec/cm2
SO4s     SO4s tracer                    9.600E-02  1     2028 1.000E+00 molec/cm2
MSA      MSA tracer                     9.600E-02  1     2029 1.000E+00 molec/cm2
NH3      NH3 tracer                     1.700E-02  1     2030 1.000E+00 molec/cm2
NH4      NH4 tracer                     1.800E-02  1     2031 1.000E+00 molec/cm2
NIT      NIT tracer                     6.200E-02  1     2032 1.000E+00 molec/cm2
NITs     NITs tracer                    6.200E-02  1     2033 1.000E+00 molec/cm2
BCPI     BCPI tracer                    1.200E-02  1     2034 1.000E+00 molec/cm2
OCPI     OCPI tracer                    1.200E-02  1     2035 1.000E+00 molec/cm2
BCPO     BCPO tracer                    1.200E-02  1     2036 1.000E+00 molec/cm2
OCPO     OCPO tracer                    1.200E-02  1     2037 1.000E+00 molec/cm2
DST1     DST1 tracer                    2.900E-02  1     2038 1.000E+00 molec/cm2
DST2     DST2 tracer                    2.900E-02  1     2039 1.000E+00 molec/cm2
DST3     DST3 tracer                    2.900E-02  1     2040 1.000E+00 molec/cm2
DST4     DST4 tracer                    2.900E-02  1     2041 1.000E+00 molec/cm2
SALA     SALA tracer                    3.600E-02  1     2042 1.000E+00 molec/cm2
SALC     SALC tracer                    3.600E-02  1     2043 1.000E+00 molec/cm2
SOAS     SOAS tracer                    1.500E-01  1     2044 1.000E+00 molec/cm2
SOAP     SOAP tracer                    1.500E-01  1     2045 1.000E+00 molec/cm2
BRBI     BRBI tracer                    1.200E-02  1     2046 1.000E+00 molec/cm2
BRBO     BRBO tracer                    1.200E-02  1     2047 1.000E+00 molec/cm2
BRFI     BRFI tracer                    1.200E-02  1     2048 1.000E+00 molec/cm2
BRFO     BRFO tracer                    1.200E-02  1     2049 1.000E+00 molec/cm2
BRSOA    BRSOA tracer                   1.200E-02  1     2050 1.000E+00 molec/cm2
BRSOP    BRSOP tracer                   1.200E-02  1     2051 1.000E+00 molec/cm2
O3       Pure O3 tracer                 4.800E-02  1     2052 1.000E+00 molec/cm2
#==============================================================================
# GEOS-CHEM tracers [kg/s]
#==============================================================================
NOx      NOx tracer                     1.400E-02  1     3001 1.000E+00 kg/s
Ox       Ox tracer                      4.800E-02  1     3002 1.000E+00 kg/s
PAN      PAN tracer                     1.210E-01  1     3003 1.000E+00 kg/s
CO       CO tracer                      2.800E-02  1     3004 1.000E+00 kg/s
ALK4     ALK4 tracer                    1.200E-02  4     3005 1.000E+00 kg C/s
ISOP     ISOP tracer                    1.200E-02  5     3006 1.000E+00 kg C/s
HNO3     HNO3 tracer                    6.300E-02  1     3007 1.000E+00 kg/s
H2O2     H2O2 tracer                    3.400E-02  1     3008 1.000E+00 kg/s
ACET     ACET tracer                    1.200E-02  3     3009 1.000E+00 kg C/s
MEK      MEK tracer                     1.200E-02  4     3010 1.000E+00 kg C/s
ALD2     ALD2 tracer                    1.200E-02  2     3011 1.000E+00 kg C/s
RCHO     RCHO tracer                    5.800E-02  1     3012 1.000E+00 kg/s
MVK      MVK tracer                     7.000E-02  1     3013 1.000E+00 kg/s
MACR     MACR tracer                    7.000E-02  1     3014 1.000E+00 kg/s
PMN      PMN tracer                     1.470E-01  1     3015 1.000E+00 kg/s
PPN      PPN tracer                     1.350E-01  1     3016 1.000E+00 kg/s
R4N2     R4N2 tracer                    1.190E-01  1     3017 1.000E+00 kg/s
PRPE     PRPE tracer                    1.200E-02  3     3018 1.000E+00 kg C/s
C3H8     C3H8 tracer                    1.200E-02  3     3019 1.000E+00 kg C/s
CH2O     CH2O tracer                    3.000E-02  1     3020 1.000E+00 kg/s
C2H6     C2H6 tracer                    1.200E-02  2     3021 1.000E+00 kg C/s
N2O5     N2O5 tracer                    1.050E-01  1     3022 1.000E+00 kg/s
HNO4     HNO4 tracer                    7.900E-02  1     3023 1.000E+00 kg/s
MP       MP tracer                      4.800E-02  1     3024 1.000E+00 kg/s
DMS      DMS tracer                     6.200E-02  1     3025 1.000E+00 kg/s
SO2      SO2 tracer                     6.400E-02  1     3026 1.000E+00 kg/s
SO4      SO4 tracer                     9.600E-02  1     3027 1.000E+00 kg/s
SO4s     SO4s tracer                    9.600E-02  1     3028 1.000E+00 kg/s
MSA      MSA tracer                     9.600E-02  1     3029 1.000E+00 kg/s
NH3      NH3 tracer                     1.700E-02  1     3030 1.000E+00 kg/s
NH4      NH4 tracer                     1.800E-02  1     3031 1.000E+00 kg/s
NIT      NIT tracer                     6.200E-02  1     3032 1.000E+00 kg/s
NITs     NITs tracer                    6.200E-02  1     3033 1.000E+00 kg/s
BCPI     BCPI tracer                    1.200E-02  1     3034 1.000E+00 kg/s
OCPI     OCPI tracer                    1.200E-02  1     3035 1.000E+00 kg/s
BCPO     BCPO tracer                    1.200E-02  1     3036 1.000E+00 kg/s
OCPO     OCPO tracer                    1.200E-02  1     3037 1.000E+00 kg/s
DST1     DST1 tracer                    2.900E-02  1     3038 1.000E+00 kg/s
DST2     DST2 tracer                    2.900E-02  1     3039 1.000E+00 kg/s
DST3     DST3 tracer                    2.900E-02  1     3040 1.000E+00 kg/s
DST4     DST4 tracer                    2.900E-02  1     3041 1.000E+00 kg/s
SALA     SALA tracer                    3.600E-02  1     3042 1.000E+00 kg/s
SALC     SALC tracer                    3.600E-02  1     3043 1.000E+00 kg/s
SOAS     SOAS tracer                    1.500E-01  1     3044 1.000E+00 kg/s
SOAP     SOAP tracer                    1.500E-01  1     3045 1.000E+00 kg/s
BRBI     BRBI tracer                    1.200E-02  1     3046 1.000E+00 kg/s
BRBO     BRBO tracer                    1.200E-02  1     3047 1.000E+00 kg/s
BRFI     BRFI tracer                    1.200E-02  1     3048 1.000E+00 kg/s
BRFO     BRFO tracer                    1.200E-02  1     3049 1.000E+00 kg/s
BRSOA    BRSOA tracer                   1.200E-02  1     3050 1.000E+00 kg/s
BRSOP    BRSOP tracer                   1.200E-02  1     3051 1.000E+00 kg/s
O3       Pure O3 tracer                 4.800E-02  1     3052 1.000E+00 kg/s
#==============================================================================
# GEOS-CHEM tracers [kg]
#==============================================================================
NOx      NOx tracer                     1.400E-02  1     4001 1.000E+00 kg
Ox       Ox tracer                      4.800E-02  1     4002 1.000E+00 kg
PAN      PAN tracer                     1.210E-01  1     4003 1.000E+00 kg
CO       CO tracer                      2.800E-02  1     4004 1.000E+00 kg
ALK4     ALK4 tracer                    1.200E-02  4     4005 1.000E+00 kg C
ISOP     ISOP tracer                    1.200E-02  5     4006 1.000E+00 kg C
HNO3     HNO3 tracer                    6.300E-02  1     4007 1.000E+00 kg
H2O2     H2O2 tracer                    3.400E-02  1     4008 1.000E+00 kg
ACET     ACET tracer                    1.200E-02  3     4009 1.000E+00 kg C
MEK      MEK tracer                     1.200E-02  4     4010 1.000E+00 kg C
ALD2     ALD2 tracer                    1.200E-02  2     4011 1.000E+00 kg C
RCHO     RCHO tracer                    5.800E-02  1     4012 1.000E+00 kg
MVK      MVK tracer                     7.000E-02  1     4013 1.000E+00 kg
MACR     MACR tracer                    7.000E-02  1     4014 1.000E+00 kg
PMN      PMN tracer                     1.470E-01  1     4015 1.000E+00 kg
PPN      PPN tracer                     1.350E-01  1     4016 1.000E+00 kg
R4N2     R4N2 tracer                    1.190E-01  1     4017 1.000E+00 kg
PRPE     PRPE tracer                    1.200E-02  3     4018 1.000E+00 kg C
C3H8     C3H8 tracer                    1.200E-02  3     4019 1.000E+00 kg C
CH2O     CH2O tracer                    3.000E-02  1     4020 1.000E+00 kg
C2H6     C2H6 tracer                    1.200E-02  2     4021 1.000E+00 kg C
N2O5     N2O5 tracer                    1.050E-01  1     4022 1.000E+00 kg
HNO4     HNO4 tracer                    7.900E-02  1     4023 1.000E+00 kg
MP       MP tracer                      4.800E-02  1     4024 1.000E+00 kg
DMS      DMS tracer                     6.200E-02  1     4025 1.000E+00 kg
SO2      SO2 tracer                     6.400E-02  1     4026 1.000E+00 kg
SO4      SO4 tracer                     9.600E-02  1     4027 1.000E+00 kg
SO4s     SO4s tracer                    9.600E-02  1     4028 1.000E+00 kg
MSA      MSA tracer                     9.600E-02  1     4029 1.000E+00 kg
NH3      NH3 tracer                     1.700E-02  1     4030 1.000E+00 kg
NH4      NH4 tracer                     1.800E-02  1     4031 1.000E+00 kg
NIT      NIT tracer                     6.200E-02  1     4032 1.000E+00 kg
NITs     NITs tracer                    6.200E-02  1     4033 1.000E+00 kg
BCPI     BCPI tracer                    1.200E-02  1     4034 1.000E+00 kg
OCPI     OCPI tracer                    1.200E-02  1     4035 1.000E+00 kg
BCPO     BCPO tracer                    1.200E-02  1     4036 1.000E+00 kg
OCPO     OCPO tracer                    1.200E-02  1     4037 1.000E+00 kg
DST1     DST1 tracer                    2.900E-02  1     4038 1.000E+00 kg
DST2     DST2 tracer                    2.900E-02  1     4039 1.000E+00 kg
DST3     DST3 tracer                    2.900E-02  1     4040 1.000E+00 kg
DST4     DST4 tracer                    2.900E-02  1     4041 1.000E+00 kg
SALA     SALA tracer                    3.600E-02  1     4042 1.000E+00 kg
SALC     SALC tracer                    3.600E-02  1     4043 1.000E+00 kg
SOAS     SOAS tracer                    1.500E-01  1     4044 1.000E+00 kg
SOAP     SOAP tracer                    1.500E-01  1     4045 1.000E+00 kg
BRBI     BRBI tracer                    1.200E-02  1     4046 1.000E+00 kg
BRBO     BRBO tracer                    1.200E-02  1     4047 1.000E+00 kg
BRFI     BRFI tracer                    1.200E-02  1     4048 1.000E+00 kg
BRFO     BRFO tracer                    1.200E-02  1     4049 1.000E+00 kg
BRSOA    BRSOA tracer                   1.200E-02  1     4050 1.000E+00 kg
BRSOP    BRSOP tracer                   1.200E-02  1     4051 1.000E+00 kg
O3       Pure O3 tracer                 4.800E-02  1     4052 1.000E+00 kg
#==============================================================================
# Aerosol Optical Properties
#==============================================================================
AOD535   Aerosol Optical Depth 533nm    1.000E+00  1    52001 1.000E+00 unitless
AOD393   Aerosol Optical Depth 393nm    1.000E+00  1    52002 1.000E+00 unitless
AOD304   Aerosol Optical Depth 304nm    1.000E+00  1    52003 1.000E+00 unitless
AOD231   Aerosol Optical Depth 231nm    1.000E+00  1    52004 1.000E+00 unitless
SSA535   Single Scattering Albedo 533nm 1.000E+00  1    52005 1.000E+00 unitless
SSA393   Single Scattering Albedo 393nm 1.000E+00  1    52006 1.000E+00 unitless
SSA304   Single Scattering Albedo 304nm 1.000E+00  1    52007 1.000E+00 unitless
SSA231   Single Scattering Albedo 231nm 1.000E+00  1    52008 1.000E+00 unitless
ASM535   Asymmetry Parameter 533nm      1.000E+00  1    52009 1.000E+00 unitless
ASM393   Asymmetry Parameter 393nm      1.000E+00  1    52010 1.000E+00 unitless
ASM304   Asymmetry Parameter 304nm      1.000E+00  1    52011 1.000E+00 unitless
ASM231   Asymmetry Parameter 231nm      1.000E+00  1    52012 1.000E+00 unitless
#==============================================================================
# Aerosol SW Radiative Forcing
#==============================================================================
SWHR     Aerosol Heat Rate (all-sky)    1.000E+00  1    53001 1.000E+00 K/s
DRFTOA   Aerosol DRF at TOA (all-sky)   1.000E+00  1    53002 1.000E+00 W/m2
DRFSFC   Aerosol DRF at SFC (all-sky)   1.000E+00  1    53003 1.000E+00 W/m2
SWHRC    Aerosol Heat Rate (clear-sky)  1.000E+00  1    53004 1.000E+00 K/s
DRFTOAC  Aerosol DRF at TOA (clear-sky) 1.000E+00  1    53005 1.000E+00 W/m2
DRFSFCC  Aerosol DRF at SFC (clear-sky) 1.000E+00  1    53006 1.000E+00 W/m2
#==============================================================================
# Aerosol LW Radiative Forcing
#==============================================================================
LWHR     Aerosol Heat Rate (all-sky)    1.000E+00  1    54001 1.000E+00 K/s
DRFTOA   Aerosol DRF at TOA (all-sky)   1.000E+00  1    54002 1.000E+00 W/m2
DRFSFC   Aerosol DRF at SFC (all-sky)   1.000E+00  1    54003 1.000E+00 W/m2
LWHRC    Aerosol Heat Rate (clear-sky)  1.000E+00  1    54004 1.000E+00 K/s
DRFTOAC  Aerosol DRF at TOA (clear-sky) 1.000E+00  1    54005 1.000E+00 W/m2
DRFSFCC  Aerosol DRF at SFC (clear-sky) 1.000E+00  1    54006 1.000E+00 W/m2
#==============================================================================
# Cloud SW Radiative Forcing
#==============================================================================
CRFTOA   Cloud RF at TOA                1.000E+00  1    55001 1.000E+00 W/m2
CRFSFC   Cloud RF at SFC                1.000E+00  1    55002 1.000E+00 W/m2
#==============================================================================
# Cloud LW Radiative Forcing
#==============================================================================
CRFTOA   Cloud RF at TOA                1.000E+00  1    56001 1.000E+00 W/m2
CRFSFC   Cloud RF at SFC                1.000E+00  1    56002 1.000E+00 W/m2
#==============================================================================
# ND05 diagnostic quantities
#==============================================================================
SO2dms   P(SO2) from DMS+OH             3.200E-02  1    18001 1.000E+00 kg S
SO2no3   P(SO2) from DMS+NO3            3.200E-02  1    18002 1.000E+00 kg S
SO2tot   Total P(SO2)                   3.200E-02  1    18003 1.000E+00 kg S
MSAdms   P(MSA) from DMS                3.200E-02  1    18004 1.000E+00 kg S
SO4gas   P(SO4) by gas phase            3.200E-02  1    18005 1.000E+00 kg S
SO4h2o2  P(SO4) by cloud H2O2           3.200E-02  1    18006 1.000E+00 kg S
SO4o3    P(SO4) by cloud O3             3.200E-02  1    18007 1.000E+00 kg S
SO4ss    P(SO4) by seasalt O3           3.200E-02  1    18008 1.000E+00 kg S
LOH      L(OH) by DMS                   1.700E-02  1    18009 1.000E+00 kg OH
LNO3     L(NO3) by DMS                  6.200E-02  1    18010 1.000E+00 kg NO3
#==============================================================================
# ND07 diagnostic quantities
#==============================================================================
BLKC     Black (Elemental) Carbon       1.200E-02  1    33034 1.000E+00 kg
ORGC     Organic Carbon                 1.200E-02  1    33035 1.000E+00 kg
ALPH     Alpha-Pinene                   1.360E-01  1    33000 1.000E+00 kg
LIMO     Limonene                       1.360E-01  1    33000 1.000E+00 kg
TERP     Terpenes                       1.360E-01  1    33001 1.000E+00 kg
ALCO     Alcohols                       1.420E-01  1    33002 1.000E+00 kg
SESQ     Sesqterpene                    2.040E-01  1    33003 1.000E+00 kg
ASOA     Aer prods of B+T+X             1.500E-01  1    33000 1.000E+00 kg
BSOA     Aerosol prod of Mono+Isopene   1.600E-01  1    33000 1.000E+00 kg
SPOA     Aerosol prod of semi-volatile  1.500E-01  1    33000 1.000E+00 kg
SOAS     Aerosol prod of Simple SOA     1.500E-01  1    33044 1.000E+00 kg
SOAG     SOAG production in aq. aerosol 5.800E-02  1    33000 1.000E+00 kg
SOAM     SOAM production in aq. aerosol 7.200E-02  1    33000 1.000E+00 kg
#==============================================================================
# ND11 diagnostic quantities
#==============================================================================
ACETmo   ACET from monoterpenes         1.200E-02  3    22001 1.000E+00 atoms C/cm2/s
ACETmb   ACET from methyl butenol       1.200E-02  3    22002 1.000E+00 atoms C/cm2/s
ACETbg   ACET from direct emissions     1.200E-02  3    22003 1.000E+00 atoms C/cm2/s
ACETdl   ACET from dry leaf matter      1.200E-02  3    22004 1.000E+00 atoms C/cm2/s
ACETgr   ACET from grasslands           1.200E-02  3    22005 1.000E+00 atoms C/cm2/s
ACETop   ACET from ocean source         1.200E-02  3    22006 1.000E+00 atoms C/cm2/s
ACETol   ACET from ocean sink           1.200E-02  3    22007 1.000E+00 atoms C/cm2/s
#==============================================================================
# ND28 diagnostic quantities
#==============================================================================
NOx      NOx biomass                    1.400E-02  1    45001 1.000E+00 molec/cm2/s
CO       CO biomass                     2.800E-02  1    45004 1.000E+00 molec/cm2/s
ALK4     ALK4 biomass                   1.200E-02  4    45005 1.000E+00 atoms C/cm2/s
ACET     ACET biomass                   1.200E-02  3    45009 1.000E+00 atoms C/cm2/s
MEK      MEK biomass                    1.200E-02  4    45010 1.000E+00 atoms C/cm2/s
ALD2     ALD2 biomass                   1.200E-02  3    45011 1.000E+00 atoms C/cm2/s
